MANCODIGO,SITP_Count
008514032,41
008417013,30
008503010,48
008513019,45
008514036,32
008514040,38
008532005,42
008515060,44
008527037,28
008506004,62
008535030,72
008535031,73
008515069,40
008515070,44
008508017,35
008403006,28
008515032,43
008408011,31
009255041,33
009255067,40
009255049,36
009253001,41
008521009,78
008502012,50
008513023,43
008540024,54
008515019,44
008540043,50
008502013,50
008530015,40
008411008,60
008515001,44
008516039,40
008407035,35
008514039,37
008505093,54
008533009,57
008526054,40
008505079,53
008407033,35
008527034,35
008527031,40
008530009,41
008530004,41
008530012,39
008413023,49
008418008,25
008508030,39
008521004,64
008527023,30
008507019,50
008408054,1
008407027,40
008530001,39
008530093,54
008412020,47
008538028,33
008530007,40
008408043,38
008414004,58
008539003,6
008506046,57
008521006,77
008521029,74
008525002,30
008507049,60
008506075,72
008506044,57
008506035,62
008538083,54
008538084,52
008502025,42
008538081,56
008538011,55
008505011,69
008529003,78
008513009,32
008543015,40
008526043,37
008504008,46
008517031,41
008519035,34
008401006,30
008504007,47
008417086,51
008540090,51
008540020,51
008526017,49
008539002,24
008504010,44
008413018,56
008544017,90
006535001,2
005603018,76
008408018,19
008533013,57
008407010,50
008520024,68
008417070,49
008529028,44
001210003,56
004596012,64
006521014,36
002535025,64
004204010,40
001325032,38
008516001,52
008416048,56
008535082,75
008505088,51
008510003,44
008505010,75
008404031,54
008507005,56
008540038,55
008507057,54
001111015,63
005508024,58
005508026,55
001210005,53
001210002,54
001210013,58
001210015,53
001210022,61
008507021,54
008540052,52
008516014,44
008516018,41
208203049,53
008411021,57
008506001,51
008520049,34
008505020,69
008404008,56
008505002,60
008516035,39
008507003,56
008507002,55
008408030,1
008504024,28
008529035,40
008401003,27
008526049,38
008538003,23
008410011,95
008415010,48
008407007,46
008407031,40
008405007,47
008405009,41
008405006,44
008416023,49
208203094,39
008506041,55
008506067,57
008535050,62
008412011,37
008417055,54
008505003,59
008512007,53
008507004,56
008420010,22
008420007,22
008526039,41
008526040,38
008526046,40
008526050,36
008526053,33
008526071,30
008515007,42
008418004,35
008526083,36
008412018,43
008526091,36
008535007,72
008505077,50
008535019,71
008504011,43
008527018,34
008418035,44
008540010,55
008417051,55
008408015,23
008417026,44
008515041,39
008518001,43
008506027,64
008513039,32
008513038,29
008418047,50
008518044,37
008521012,80
008537035,73
008521005,79
008408042,9
008521039,61
008501010,36
008530019,41
008514030,40
008503004,47
008533053,69
008526072,34
008543026,22
008506093,65
008513017,34
008401021,35
008417009,32
008524026,56
008529006,48
008408019,16
008507028,56
008543022,26
008539008,14
008515048,46
001108055,56
008540031,49
008528019,38
008505092,48
008533012,53
008529039,31
008532006,41
002551015,31
004623014,29
008408044,23
008408035,11
008417004,30
008408036,1
008506052,51
008502052,44
208203093,51
008411020,54
008411024,54
008411028,57
008411019,55
008408046,35
008526081,40
008526082,36
008417083,29
008513008,27
008540016,37
008508040,48
008401022,44
008540033,51
008416039,50
008543033,22
008425004,33
008519083,45
008530005,38
008527024,27
008543042,29
008510018,38
008533005,58
008533019,60
008533021,59
008533030,36
008404003,67
008502003,40
008540039,53
008502047,55
008533052,68
008533070,70
008533093,54
008527016,26
008507024,62
008413020,52
008540068,39
008540009,58
208203047,38
008540004,47
008535001,58
008533045,56
008535063,81
008415072,34
008514014,46
008404005,56
008507059,51
008527029,33
008508013,48
006525007,4
008540042,50
008535009,70
008508021,56
008533007,54
008506066,64
008407024,48
008515004,40
008408041,34
008532011,34
008532008,32
008408029,18
008532009,36
008413002,53
008507010,57
008506091,72
008407001,45
008414011,66
008508041,49
008407023,49
008521021,68
008521028,80
008418036,46
008418043,50
008417018,30
008518011,34
008518008,38
008515050,40
008416052,72
008538006,26
008525007,29
008528031,22
008516033,43
008539012,10
008535029,74
008506037,62
008512002,50
008505090,71
008510009,43
008512003,53
008407017,42
008510010,44
008510011,42
008529046,24
008537019,52
008506063,69
008510001,41
008510002,42
008519039,47
008515008,42
008511003,46
008506009,64
002525050,50
001404038,61
008512025,30
008512018,31
008506042,54
208203069,43
008518020,36
008518019,35
008506002,55
008513004,28
008535079,73
008536090,50
008418033,41
008417048,42
008417038,50
008505019,73
008529007,44
008416011,57
009255055,34
008413010,53
008516007,46
008526004,30
008526013,31
008414002,62
008417025,32
008504051,44
008515012,46
008418058,41
008513054,48
002570062,42
009254081,57
008506018,71
008513057,48
008513058,49
008514020,38
008401025,37
008414010,62
008401026,32
008513034,49
008413025,51
008418055,53
008535081,74
008524028,41
008408017,21
008540046,53
008540047,57
008513040,30
008412045,51
008514021,37
008511004,52
008514028,35
008514029,35
008514037,41
008514038,38
208203057,41
008407008,44
008543034,61
008517012,43
008543040,41
008418012,25
008526089,36
008504001,43
008504014,44
008407021,50
008519043,40
008508034,44
008503007,63
008418009,24
008535064,78
008510008,44
008510006,46
008509004,43
208203062,51
008539013,9
008412044,60
008538082,52
008538014,55
008408004,40
008540025,52
008528055,27
008521044,62
008506029,62
008417059,48
008505087,53
008540005,52
008501045,36
008414033,44
008526042,38
008513014,35
008506058,59
008407012,43
008401016,31
008538002,25
008416042,50
008545001,44
208203001,48
008513011,33
009255020,31
009255003,25
009255076,33
009255056,34
008544013,11
008544014,17
008528029,21
008529045,24
008508026,45
208203052,45
208203092,50
008508051,47
008522006,64
008413015,53
008508039,47
008510012,53
008536060,26
008540048,55
008507046,54
008412061,43
008515037,41
008535004,58
008521023,75
008502001,50
008537023,59
008504005,49
008513027,43
008529041,35
008540067,39
008505070,67
008504016,42
